"","Date","Observer","Location","Point","StandardizedLocationName","index","cmc_comments","answers","Start.Time..24h.","Latitude","Longitude","Cloud","Wind","Notes","Species.before","Species.After","newspotnames"
"54","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC18",NA,"60",NA,NA,"8:42",36.53065,-102.77064,"10%","5 to 10","","","","RBNG-PC18"
"55","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC19",NA,"61",NA,NA,"8:55",36.53066,-102.77992,"10%","10 to 15","","","","RBNG-PC19"
"56","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC20",NA,"62",NA,NA,"9:10",36.53063,-102.78953,"10%","10 to 15","","","","RBNG-PC20"
"57","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC21",NA,"63",NA,NA,"9:24",36.53064,-102.79861,"10%","10 to 15","","","","RBNG-PC21"
"58","6/4/2013","ESB","Drummond Flats WMA","DRMD-PC4",NA,"1",NA,NA,"12:37",36.31837,-97.98165,"15%","10-15 N","Pastureland","","","DRMD-PC04"
"59","6/5/2013","MDF","Rita Blanca NG","RBNG-PC10",NA,"32",NA,NA,"11:38",36.52319,-102.69707,"0%","10 to 15","","","","RBNG-PC10"
"60","6/5/2013","MDF","Rita Blanca NG","RBNG-PC11",NA,"33",NA,NA,"11:52",36.53065,-102.69707,"0%","10 to 15","","","","RBNG-PC11"
"61","6/5/2013","MDF","Rita Blanca NG","RBNG-PC2",NA,"24",NA,NA,"9:41",36.51604,-102.62932,"0%","10 to 15","","","","RBNG-PC02"
"62","6/5/2013","MDF","Rita Blanca NG","RBNG-PC3",NA,"25",NA,NA,"9:59",36.5161,-102.63846,"0%","10 to 15","","","","RBNG-PC03"
"63","6/5/2013","MDF","Rita Blanca NG","RBNG-PC4",NA,"26",NA,NA,"10:16",36.51605,-102.64748,"0%","10 to 15","","","","RBNG-PC04"
"64","6/5/2013","MDF","Rita Blanca NG","RBNG-PC5",NA,"27",NA,NA,"10:30",36.51603,-102.65646,"0%","10 to 15","","","","RBNG-PC05"
"65","6/5/2013","MDF","Rita Blanca NG","RBNG-PC6",NA,"28",NA,NA,"10:42",36.51608,-102.66584,"0%","10 to 15","","","","RBNG-PC06"
"66","6/5/2013","MDF","Rita Blanca NG","RBNG-PC7",NA,"29",NA,NA,"10:57",36.51614,-102.6749,"0%","10 to 15","","","","RBNG-PC07"
"67","6/5/2013","MDF","Rita Blanca NG","RBNG-PC8",NA,"30",NA,NA,"11:11",36.51611,-102.68391,"0%","10 to 15","","","","RBNG-PC08"
"68","6/5/2013","MDF","Rita Blanca NG","RBNG-PC9",NA,"31",NA,NA,"11:25",36.51621,-102.6933,"0%","10 to 15","","","","RBNG-PC09"
"69","6/5/2013","MDF","Rita Blanca NG ","RBNG-PC1",NA,"23",NA,NA,"9:24",36.516,-102.62045,"0%","10 to 15","","","","RBNG-PC01"
"70","6/6/2013","JDR","Black Mesa SP","BLKM-PC1",NA,"2",NA,NA,"10:59",36.8024,-102.87727,"","","","","","BLKM-PC01"
"71","6/6/2013","JDR","Black Mesa SP","BLKM-PC6",NA,"3",NA,NA,"11:19",36.83884,-102.87701,"","","","","","BLKM-PC06"
"72","6/6/2013","MDF","Black Mesa SP","BLKM-PC2",NA,"21",NA,NA,"10:56",36.817,-102.87723,"100%","5 to 10","","","","BLKM-PC03"
"73","6/6/2013","MDF","Black Mesa SP","BLKM-PC5",NA,"22",NA,NA,"11:18",36.83082,-102.87759,"100%","5 to 10","","","","BLKM-PC05"
"74","6/6/2013","MDF","Optima WMA","OPTM-PC1",NA,"34",NA,NA,"17:54",36.63108,-101.19296,"50%","5 to 10","","","","OPTM-PC01"
"75","6/6/2013","MDF","Optima WMA","OPTM-PC2",NA,"35",NA,NA,"18:13",36.63102,-101.20216,"50%","5 to 10","","","","OPTM-PC02"
"76","6/6/2013","MDF","Optima WMA","OPTM-PC3",NA,"36",NA,NA,"18:24",36.63106,-101.21123,"50%","5 to 10","","","","OPTM-PC03"
"77","6/6/2013","MDF","Optima WMA","OPTM-PC4",NA,"37",NA,NA,"18:39",36.62458,-101.21511,"50%","5 to 10","","","","OPTM-PC04"
"78","6/6/2013","MDF","Optima WMA","OPTM-PC5",NA,"38",NA,NA,"18:54",36.62376,-101.22406,"50%","5 to 10","","","","OPTM-PC05"
"79","6/6/2013","MDF","Optima WMA","OPTM-PC6",NA,"39",NA,NA,"19:09",36.61652,-101.22447,"50%","5 to 10","","","","OPTM-PC06"
"80","6/6/2013","MDF","Optima WMA","OPTM-PC7",NA,"40",NA,NA,"19:22",36.61651,-101.23351,"50%","5 to 10","","","","OPTM-PC07"
"81","6/7/2013","JDR","Black Kettle NG","BKNG-PC12",NA,"9",NA,NA,"16:18",35.60992,-99.58542,"","","","","","BKNGPC12"
"82","6/7/2013","JDR","Black Kettle NG","BKNG-PC3",NA,"6",NA,NA,"10:54",35.7773,-99.85403,"","","","","","BKNG-PC03"
"83","6/7/2013","JDR","Black Kettle NG","BKNG-PC4",NA,"7",NA,NA,"14:55",35.61734,-99.70589,"75","10-15 S","","","","BKNGPC04"
"84","6/7/2013","JDR","Black Kettle NG","BKNG-PC9",NA,"8",NA,NA,"15:43",35.59875,-99.65285,"","","","","","BKNGPC09"
"85","6/7/2013","JDR","Ellis Co WMA","ELIS-PC1",NA,"4",NA,NA,"6:35",36.0997,-99.91707,"","","","","","ELIS-PC01"
"86","6/7/2013","JDR","Ellis Co WMA","ELIS-PC6",NA,"5",NA,NA,"7:25",36.05701,-99.89209,"","","","","","ELIS-PC06"
"87","6/7/2013","MDF","Black Kettle NG","BKNG-PC11",NA,"50",NA,NA,"16:16",35.6099,-99.59411,"0%","10 to 15","","","","BKNGPC11"
"88","6/7/2013","MDF","Black Kettle NG","BKNG-PC5",NA,"48",NA,NA,"14:53",35.61718,-99.69678,"0%","10 to 15","","","","BKNGPC05"
"89","6/7/2013","MDF","Black Kettle NG","BKNG-PC7",NA,"49",NA,NA,"15:38",35.60933,-99.64439,"0%","10 to 15","","","","BKNGPC07"
"90","6/7/2013","MDF","Ellis Co. WMA","BKNG-PC2",NA,"47",NA,NA,"10:51",35.78582,-99.85393,"30%","0 to 5","","","","BKNG-PC02"
"91","6/7/2013","MDF","Ellis Co. WMA","ELIS-PC2",NA,"45",NA,NA,"6:30",36.09158,-99.91681,"30%","0 to 5","","","","ELIS-PC02"
"92","6/7/2013","MDF","Ellis Co. WMA","ELIS-PC5",NA,"46",NA,NA,"7:23",36.05571,-99.8993,"30%","0 to 5","","","","ELIS-PC05"
"93","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC1",NA,"79",NA,NA,"6:49",36.84027,-96.45525,"50%","0 to 5","","","","TGPP-PC01"
"94","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC10",NA,"87",NA,NA,"8:58",36.88141,-96.49261,"30%","5 to 10","","","","TGPPPC10"
"95","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC11",NA,"88",NA,NA,"9:14",36.88883,-96.48856,"30%","5 to 10","","","","TGPPPC11"
"96","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC2",NA,"80",NA,NA,"7:04",36.84035,-96.46481,"50%","0 to 5","","","","TGPP-PC02"
"97","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC3",NA,"81",NA,NA,"7:17",36.84045,-96.47447,"50%","0 to 5","","","","TGPP-PC03"
"98","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC5",NA,"82",NA,NA,"7:33",36.84579,-96.48058,"50%","0 to 5","","","","TGPP-PC05"
"99","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC6",NA,"83",NA,NA,"7:48",36.85324,-96.48377,"50%","0 to 5","","","","TGPP-PC06"
"100","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC7",NA,"84",NA,NA,"8:06",36.85777,-96.49138,"50%","0 to 5","","","","TGPP-PC07"
"101","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC8",NA,"85",NA,NA,"8:25",36.86581,-96.49264,"50%","0 to 5","","","","TGPP-PC08"
"102","7/8/2013","MDF","Tallgrass Prairie Preserve","TGPP-PC9",NA,"86",NA,NA,"8:38",36.87362,-96.49261,"50%","0 to 5","","","","TGPP-PC09"
