,Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
69,6/5/2013,MDF,Rita Blanca NG ,RBNG-PC1,NA,RBNG-PC01,23,,,9:24,36.516,-102.62045,0%,10 to 15,,,
70,6/6/2013,JDR,Black Mesa SP,BLKM-PC1,NA,BLKM-PC01,2,,,10:59,36.8024,-102.87727,,,,,
71,6/6/2013,JDR,Black Mesa SP,BLKM-PC6,NA,BLKM-PC06,3,,,11:19,36.83884,-102.87701,,,,,
72,6/6/2013,MDF,Black Mesa SP,BLKM-PC2,NA,BLKM-PC03,21,,,10:56,36.817,-102.87723,100%,5 to 10,,,
73,6/6/2013,MDF,Black Mesa SP,BLKM-PC5,NA,BLKM-PC05,22,,,11:18,36.83082,-102.87759,100%,5 to 10,,,
74,6/6/2013,MDF,Optima WMA,OPTM-PC1,NA,OPTM-PC01,34,,,17:54,36.63108,-101.19296,50%,5 to 10,,,
75,6/6/2013,MDF,Optima WMA,OPTM-PC2,NA,OPTM-PC02,35,,,18:13,36.63102,-101.20216,50%,5 to 10,,,
76,6/6/2013,MDF,Optima WMA,OPTM-PC3,NA,OPTM-PC03,36,,,18:24,36.63106,-101.21123,50%,5 to 10,,,
77,6/6/2013,MDF,Optima WMA,OPTM-PC4,NA,OPTM-PC04,37,,,18:39,36.62458,-101.21511,50%,5 to 10,,,
78,6/6/2013,MDF,Optima WMA,OPTM-PC5,NA,OPTM-PC05,38,,,18:54,36.62376,-101.22406,50%,5 to 10,,,
79,6/6/2013,MDF,Optima WMA,OPTM-PC6,NA,OPTM-PC06,39,,,19:09,36.61652,-101.22447,50%,5 to 10,,,
80,6/6/2013,MDF,Optima WMA,OPTM-PC7,NA,OPTM-PC07,40,,,19:22,36.61651,-101.23351,50%,5 to 10,,,
81,6/7/2013,JDR,Black Kettle NG,BKNG-PC12,NA,BKNGPC12,9,,,16:18,35.60992,-99.58542,,,,,
82,6/7/2013,JDR,Black Kettle NG,BKNG-PC3,NA,BKNG-PC03,6,,,10:54,35.7773,-99.85403,,,,,
