Date,Observer,Location,Point,StandardizedLocationName,LocalSurveyName,Species,whattodowiththissighting,Quantity,Heard/Seen,Angle (deg),Distance (m),Breeding Code,Flyover,Notes
4/23/2014,Crystina,Tallgrass Prairie,32,,,AMCR,KEEP,1,H,190,300,,,
4/23/2014,Crystina,Tallgrass Prairie,32,,,sparrow sp.,KEEP,3,H,350,60,,,heard then seen on power line
4/23/2014,Crystina,Tallgrass Prairie,32,,,TUVU,KEEP,1,S,180,180,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,32,,,GRSP,KEEP,1,H,260,40,,,
4/23/2014,Crystina,Tallgrass Prairie,32,,,sparrow sp.,KEEP,2,S,30,40,,,
4/23/2014,Crystina,Tallgrass Prairie,32,,,TUVU,KEEP,1,S,290,250,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,32,,,SAVS,KEEP,1,H,170,30,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,EAME,KEEP,1,H,160,80,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,EAME,KEEP,1,H,40,50,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,GRSP,KEEP,1,H,190,20,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,EAME,KEEP,1,H,240,100,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,EAME,KEEP,1,H,350,60,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,FISP,KEEP,1,H,160,200,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,GRSP,KEEP,1,H,170,30,,,
4/23/2014,Crystina,Tallgrass Prairie,33,,,AMKE,KEEP,1,S,110,110,,Landed,
4/23/2014,Crystina,Tallgrass Prairie,33,,,UNKNOWN,KEEP,3,S,160,150,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,34,,,TUTI,KEEP,1,H,240,150,,,
4/23/2014,Crystina,Tallgrass Prairie,34,,,EAME,KEEP,1,H,340,50,,,
4/23/2014,Crystina,Tallgrass Prairie,34,,,GRSP,KEEP,1,H,160,30,,,
4/23/2014,Crystina,Tallgrass Prairie,34,,,EAME,KEEP,1,H,50,70,,,
4/23/2014,Crystina,Tallgrass Prairie,34,,,EAME,KEEP,1,H,170,70,,,
4/23/2014,Crystina,Tallgrass Prairie,34,,,FISP,KEEP,1,H,250,80,,,getting difficult to hear
4/23/2014,Crystina,Tallgrass Prairie,34,,,UNKNOWN,KEEP,33,S,170,150,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,34,,,NOBO,KEEP,1,H,180,200,,,
4/23/2014,Crystina,Tallgrass Prairie,34,,,sparrow sp.,KEEP,1,S,50,60,,Flyover,"couldn't ID, truck drove by"
4/23/2014,Crystina,Tallgrass Prairie,35,,,EAME,KEEP,1,H,200,50,,,
4/23/2014,Crystina,Tallgrass Prairie,35,,,EAME,KEEP,1,H,170,60,,,
4/23/2014,Crystina,Tallgrass Prairie,35,,,EAME,KEEP,1,H,150,100,,,
4/23/2014,Crystina,Tallgrass Prairie,35,,,NOBO,KEEP,1,H,140,100,,,
4/23/2014,Crystina,Tallgrass Prairie,35,,,UPSA,KEEP,1,S,90,200,,,
4/23/2014,Crystina,Tallgrass Prairie,35,,,UPSA,KEEP,1,H,180,90,,,
4/23/2014,Crystina,Tallgrass Prairie,35,,,sparrow sp.,KEEP,1,H,190,20,,,can't ID chipping
4/23/2014,Crystina,Tallgrass Prairie,35,,,sparrow sp.,KEEP,1,S,270,30,,Landed,flushed by car
4/23/2014,Crystina,Tallgrass Prairie,35,,,blackbird sp.,KEEP,1,S,280,80,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,35,,,GBHE,KEEP,1,S,250,200,,Flyover,
4/25/2014,Crystina,Rita Blanca NG,12,,,HOLA,KEEP,1,H,280,50,,,"over hill, heard then saw"
4/25/2014,Crystina,Rita Blanca NG,16,,,WEME,KEEP,1,H,240,40,,,
4/25/2014,Crystina,Rita Blanca NG,16,,,HOLA,KEEP,1,H,230,30,,,
4/25/2014,Crystina,Rita Blanca NG,16,,,LOSH,KEEP,1,S,250,20,,,
4/25/2014,Crystina,Rita Blanca NG,16,,,meadowlark sp.,KEEP,1,S,250,30,,,never sang
4/25/2014,Crystina,Rita Blanca NG,16,,,HOLA,KEEP,1,S,270,40,CF,Landed,
4/25/2014,Crystina,Rita Blanca NG,16,,,sparrow sp.,KEEP,2,S,70,60,,Landed,"seen later, HOLA"
4/25/2014,Crystina,Rita Blanca NG,16,,,HOLA,KEEP,1,S,310,40,,,
4/25/2014,Crystina,Rita Blanca NG,22,,,WEME,KEEP,1,H,190,100,,,
4/25/2014,Crystina,Rita Blanca NG,22,,,VESP,KEEP,1,H,270,50,,Landed,"heard then saw, landed next to below VESP"
4/25/2014,Crystina,Rita Blanca NG,22,,,VESP,KEEP,1,S,250,50,,,
4/25/2014,Crystina,Rita Blanca NG,22,,,CASP,KEEP,1,H,110,150,,,
4/25/2014,Crystina,Rita Blanca NG,22,,,HOLA,KEEP,1,S,300,30,,,
4/25/2014,Crystina,Rita Blanca NG,22,,,LBCU,KEEP,1,H,150,50,,Landed,heard then seen
5/5/2014,Crystina,WMWR,1,,,GRSP,KEEP,1,H,170,30,,,
5/5/2014,Crystina,WMWR,1,,,BGGN,KEEP,1,H,260,110,,,
5/5/2014,Crystina,WMWR,1,,,LASP,KEEP,1,H,220,90,S,,
5/5/2014,Crystina,WMWR,1,,,GRSP,KEEP,1,H,200,40,,,
5/5/2014,Crystina,WMWR,1,,,NOBO,KEEP,1,H,180,70,,,
5/5/2014,Crystina,WMWR,1,,,LASP,KEEP,1,H,10,80,,,
5/5/2014,Crystina,WMWR,1,,,BHCO,KEEP,1,S,20,40,,Flyover,
5/5/2014,Crystina,WMWR,1,,,GRSP,KEEP,1,H,350,30,,,
5/5/2014,Crystina,WMWR,1,,,LASP,KEEP,2,S,0,20,,,
5/5/2014,Crystina,WMWR,1,,,EAME,KEEP,1,H,40,100,,,
5/5/2014,Crystina,WMWR,1,,,NOBO,KEEP,1,H,50,200,,,
5/5/2014,Crystina,WMWR,2,,,PABU,KEEP,1,H,160,50,S,,
5/5/2014,Crystina,WMWR,2,,,PABU,KEEP,1,H,50,60,S,,
5/5/2014,Crystina,WMWR,2,,,PABU,KEEP,1,H,250,100,S,,
5/5/2014,Crystina,WMWR,2,,,swallow sp.,KEEP,1,S,10,40,,Flyover,
5/5/2014,Crystina,WMWR,2,,,NOMO,KEEP,1,H,260,50,,,heard then seen
5/5/2014,Crystina,WMWR,2,,,DOWO,KEEP,1,S,240,30,,Flyover,seen then heard
5/5/2014,Crystina,WMWR,2,,,NOMO,KEEP,1,S,180,70,,,
5/5/2014,Crystina,WMWR,2,,,BGGN,KEEP,1,H,80,30,,,scold call
5/5/2014,Crystina,WMWR,2,,,sparrow sp.,KEEP,2,S,300,100,,,
5/5/2014,Crystina,WMWR,2,,,AMRO,KEEP,1,H,250,60,,,
5/5/2014,Crystina,WMWR,3,,,LASP,KEEP,1,H,60,70,,,
5/5/2014,Crystina,WMWR,3,,,PABU,KEEP,1,H,120,140,,,
5/5/2014,Crystina,WMWR,3,,,LASP,KEEP,1,H,340,50,,,
5/5/2014,Crystina,WMWR,3,,,PABU,KEEP,1,H,350,170,,,
5/5/2014,Crystina,WMWR,3,,,PABU,KEEP,1,H,190,180,,,
5/5/2014,Crystina,WMWR,3,,,NOBO,KEEP,1,H,70,150,,,
5/5/2014,Crystina,WMWR,3,,,NOBO,KEEP,1,H,160,50,,,
5/5/2014,Crystina,WMWR,3,,,swallow sp.,KEEP,1,S,330,60,,Flyover,later id'ed as BARS
5/5/2014,Crystina,WMWR,3,,,BARS,KEEP,4,S,120,40,,Landed,not including above bird
