"","Date","Observer","Location","Point","StandardizedLocationName","LocalSurveyName","Species","whattodowiththissighting","Quantity","Heard.Seen","Angle..deg.","Distance..m.","Breeding.Code","Flyover","Notes"
"166","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"BGGN","KEEP",1,"H","80",30,"","",""
"167","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"BLJA","KEEP",1,"H","170",40,"","",""
"168","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"TUTI","KEEP",1,"H","50",60,"","",""
"169","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"WITU","KEEP",1,"H","30",140,"","",""
"170","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"BGGN","KEEP",1,"S","160",20,"","",""
"171","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"UNKNOWN","KEEP",1,"S","180",40,"","Landed","small bird, flew into tree"
"172","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"CANG","KEEP",2,"H","60",200,"","Flyover","heard, then seen"
"173","04/23/2014","Crystina","Tallgrass Prairie","28",NA,NA,"EAME","KEEP",1,"H","250",150,"","",""
"174","04/23/2014","Crystina","Tallgrass Prairie","29",NA,NA,"EAME","KEEP",1,"H","200",30,"","",""
"175","04/23/2014","Crystina","Tallgrass Prairie","29",NA,NA,"SWHA","KEEP",8,"S","350",150,"","Flyover",""
"176","04/23/2014","Crystina","Tallgrass Prairie","29",NA,NA,"EAME","KEEP",1,"H","10",100,"","",""
"177","04/23/2014","Crystina","Tallgrass Prairie","29",NA,NA,"EAME","KEEP",1,"H","90",40,"","",""
"178","04/23/2014","Crystina","Tallgrass Prairie","29",NA,NA,"SWHA","KEEP",1,"S","30",50,"","Flyover",""
"179","04/23/2014","Crystina","Tallgrass Prairie","29",NA,NA,"AMKE","KEEP",1,"S","180",150,"","",""
"180","04/23/2014","Crystina","Tallgrass Prairie","29",NA,NA,"AMPI","KEEP",24,"H","40",60,"","","heard then seen, grazing in burned area, moght be more beyond ridge"
"181","04/23/2014","Crystina","Tallgrass Prairie","30",NA,NA,"EAME","KEEP",1,"H","10",70,"","",""
"182","04/23/2014","Crystina","Tallgrass Prairie","30",NA,NA,"EAME","KEEP",1,"H","100",40,"","",""
"183","04/23/2014","Crystina","Tallgrass Prairie","30",NA,NA,"SWHA","KEEP",1,"S","350",300,"","Flyover",""
"184","04/23/2014","Crystina","Tallgrass Prairie","30",NA,NA,"EAME","KEEP",1,"H","300",150,"","",""
"185","04/23/2014","Crystina","Tallgrass Prairie","30",NA,NA,"swallow sp.","KEEP",1,"S","190",70,"","Flyover",""
"186","04/23/2014","Crystina","Tallgrass Prairie","30",NA,NA,"SWHA","KEEP",2,"S","160",200,"","Flyover",""
"187","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"EAME","KEEP",1,"H","40",150,"","",""
"188","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"EAME","KEEP",1,"H","30",200,"","",""
"189","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"EAME","KEEP",1,"H","170",60,"","",""
"190","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"UNKNOWN","KEEP",2,"S","350",300,"","","smaller passerines"
"191","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"sparrow sp.","KEEP",1,"H","90",30,"A","",""
"192","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"sparrow sp.","KEEP",4,"H","170",40,"","Landed","was able to ID as LASP"
"193","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"LASP","KEEP",1,"H","200",30,"","",""
"194","04/23/2014","Crystina","Tallgrass Prairie","31",NA,NA,"sparrow sp.","KEEP",2,"S","180",50,"","Flyover","possibly SAVS"
"195","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"EAME","KEEP",4,"S","350",70,"","Landed",""
"196","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"MODO","KEEP",1,"S","330",100,"","",""
"197","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"EAME","KEEP",1,"H","270",50,"","",""
"198","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"EAME","KEEP",1,"H","30",80,"","",""
"199","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"EAME","KEEP",1,"H","320",60,"","",""
"200","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"EAME","KEEP",1,"H","90",100,"","",""
"201","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"AMCR","KEEP",1,"H","190",300,"","",""
"202","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"sparrow sp.","KEEP",3,"H","350",60,"","","heard then seen on power line"
"203","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"TUVU","KEEP",1,"S","180",180,"","Flyover",""
"204","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"GRSP","KEEP",1,"H","260",40,"","",""
"205","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"sparrow sp.","KEEP",2,"S","30",40,"","",""
"206","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"TUVU","KEEP",1,"S","290",250,"","Flyover",""
"207","04/23/2014","Crystina","Tallgrass Prairie","32",NA,NA,"SAVS","KEEP",1,"H","170",30,"","",""
"208","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"EAME","KEEP",1,"H","160",80,"","",""
"209","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"EAME","KEEP",1,"H","40",50,"","",""
"210","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"GRSP","KEEP",1,"H","190",20,"","",""
"211","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"EAME","KEEP",1,"H","240",100,"","",""
"212","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"EAME","KEEP",1,"H","350",60,"","",""
"213","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"FISP","KEEP",1,"H","160",200,"","",""
"214","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"GRSP","KEEP",1,"H","170",30,"","",""
"215","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"AMKE","KEEP",1,"S","110",110,"","Landed",""
"216","04/23/2014","Crystina","Tallgrass Prairie","33",NA,NA,"UNKNOWN","KEEP",3,"S","160",150,"","Flyover",""
"217","04/23/2014","Crystina","Tallgrass Prairie","34",NA,NA,"TUTI","KEEP",1,"H","240",150,"","",""
